1.LAYING 2.LAYING 3.LAYING 4.LAYING 5.LAYING 6.LAYING 7.LAYING 8.LAYING 9.LAYING 10.LAYING 11.LAYING 12.LAYING 13.LAYING 14.LAYING 15.LAYING 16.LAYING 17.LAYING 18.LAYING 19.LAYING 20.LAYING 21.LAYING 22.LAYING 23.LAYING 24.LAYING 25.LAYING 26.LAYING 27.LAYING 28.LAYING 29.LAYING 30.LAYING 1.SITTING 2.SITTING 3.SITTING 4.SITTING 5.SITTING 6.SITTING 7.SITTING 8.SITTING 9.SITTING 10.SITTING 11.SITTING 12.SITTING 13.SITTING 14.SITTING 15.SITTING 16.SITTING 17.SITTING 18.SITTING 19.SITTING 20.SITTING 21.SITTING 22.SITTING 23.SITTING 24.SITTING 25.SITTING 26.SITTING 27.SITTING 28.SITTING 29.SITTING 30.SITTING 1.STANDING 2.STANDING 3.STANDING 4.STANDING 5.STANDING 6.STANDING 7.STANDING 8.STANDING 9.STANDING 10.STANDING 11.STANDING 12.STANDING 13.STANDING 14.STANDING 15.STANDING 16.STANDING 17.STANDING 18.STANDING 19.STANDING 20.STANDING 21.STANDING 22.STANDING 23.STANDING 24.STANDING 25.STANDING 26.STANDING 27.STANDING 28.STANDING 29.STANDING 30.STANDING 1.WALKING 2.WALKING 3.WALKING 4.WALKING 5.WALKING 6.WALKING 7.WALKING 8.WALKING 9.WALKING 10.WALKING 11.WALKING 12.WALKING 13.WALKING 14.WALKING 15.WALKING 16.WALKING 17.WALKING 18.WALKING 19.WALKING 20.WALKING 21.WALKING 22.WALKING 23.WALKING 24.WALKING 25.WALKING 26.WALKING 27.WALKING 28.WALKING 29.WALKING 30.WALKING 1.WALKING_DOWNSTAIRS 2.WALKING_DOWNSTAIRS 3.WALKING_DOWNSTAIRS 4.WALKING_DOWNSTAIRS 5.WALKING_DOWNSTAIRS 6.WALKING_DOWNSTAIRS 7.WALKING_DOWNSTAIRS 8.WALKING_DOWNSTAIRS 9.WALKING_DOWNSTAIRS 10.WALKING_DOWNSTAIRS 11.WALKING_DOWNSTAIRS 12.WALKING_DOWNSTAIRS 13.WALKING_DOWNSTAIRS 14.WALKING_DOWNSTAIRS 15.WALKING_DOWNSTAIRS 16.WALKING_DOWNSTAIRS 17.WALKING_DOWNSTAIRS 18.WALKING_DOWNSTAIRS 19.WALKING_DOWNSTAIRS 20.WALKING_DOWNSTAIRS 21.WALKING_DOWNSTAIRS 22.WALKING_DOWNSTAIRS 23.WALKING_DOWNSTAIRS 24.WALKING_DOWNSTAIRS 25.WALKING_DOWNSTAIRS 26.WALKING_DOWNSTAIRS 27.WALKING_DOWNSTAIRS 28.WALKING_DOWNSTAIRS 29.WALKING_DOWNSTAIRS 30.WALKING_DOWNSTAIRS 1.WALKING_UPSTAIRS 2.WALKING_UPSTAIRS 3.WALKING_UPSTAIRS 4.WALKING_UPSTAIRS 5.WALKING_UPSTAIRS 6.WALKING_UPSTAIRS 7.WALKING_UPSTAIRS 8.WALKING_UPSTAIRS 9.WALKING_UPSTAIRS 10.WALKING_UPSTAIRS 11.WALKING_UPSTAIRS 12.WALKING_UPSTAIRS 13.WALKING_UPSTAIRS 14.WALKING_UPSTAIRS 15.WALKING_UPSTAIRS 16.WALKING_UPSTAIRS 17.WALKING_UPSTAIRS 18.WALKING_UPSTAIRS 19.WALKING_UPSTAIRS 20.WALKING_UPSTAIRS 21.WALKING_UPSTAIRS 22.WALKING_UPSTAIRS 23.WALKING_UPSTAIRS 24.WALKING_UPSTAIRS 25.WALKING_UPSTAIRS 26.WALKING_UPSTAIRS 27.WALKING_UPSTAIRS 28.WALKING_UPSTAIRS 29.WALKING_UPSTAIRS 30.WALKING_UPSTAIRS
tBodyGyro.std.X -0.873544 -0.988275 -0.974546 -0.973102 -0.979499 -0.955378 -0.960127 -0.965204 -0.942247 -0.961713 -0.980837 -0.966091 -0.972143 -0.957221 -0.957168 -0.977011 -0.975893 -0.992873 -0.981358 -0.984477 -0.975412 -0.956642 -0.981849 -0.982652 -0.88977 -0.990328 -0.988837 -0.955162 -0.994277 -0.973663 -0.977211 -0.985742 -0.965435 -0.970132 -0.966225 -0.957368 -0.941871 -0.984524 -0.95902 -0.988873 -0.988165 -0.974425 -0.985844 -0.98083 -0.988204 -0.981037 -0.989638 -0.991957 -0.984625 -0.976309 -0.988411 -0.981099 -0.980364 -0.988112 -0.989908 -0.991028 -0.988492 -0.979672 -0.990179 -0.988133 -0.987192 -0.972999 -0.900462 -0.909688 -0.910395 -0.947561 -0.945248 -0.97299 -0.921991 -0.929895 -0.980242 -0.883655 -0.955577 -0.961092 -0.947791 -0.9734 -0.981373 -0.962254 -0.94611 -0.886749 -0.962515 -0.917837 -0.942011 -0.960739 -0.971357 -0.973785 -0.969902 -0.884032 -0.977995 -0.911409 -0.473535 -0.56155 -0.57187 -0.500917 -0.490877 -0.446021 -0.503314 -0.19921 -0.476164 -0.414205 -0.596347 -0.546263 -0.37606 -0.600388 -0.329625 -0.654172 -0.479814 -0.70444 -0.026436 -0.232941 -0.432233 -0.318538 -0.494323 -0.580597 -0.401159 -0.492886 -0.60686 -0.503799 -0.598869 -0.387921 -0.458031 -0.320789 -0.261653 -0.370245 -0.460647 -0.198304 -0.407744 -0.258431 -0.396429 -0.304745 -0.374069 -0.362143 -0.417014 -0.354552 -0.318693 -0.454188 -0.370437 -0.502473 0.267657 -0.20494 -0.442149 -0.237349 -0.416133 -0.431919 -0.288825 -0.331313 -0.363723 -0.268106 -0.282077 -0.265923 -0.544871 -0.439253 -0.456039 -0.454431 -0.443342 -0.321974 -0.363853 -0.367428 -0.343977 -0.308535 -0.501332 -0.526659 -0.541067 -0.454283 -0.415251 -0.508087 -0.496563 -0.593842 -0.4068 -0.492701 -0.531909 -0.301492 -0.550665 -0.577426 -0.489012 -0.550274 -0.562461 -0.518818 -0.323905 -0.493838
tBodyGyro.std.Y -0.95109 -0.982292 -0.977273 -0.961109 -0.977427 -0.943635 -0.945072 -0.952039 -0.926619 -0.95366 -0.982443 -0.953874 -0.962705 -0.9325 -0.961143 -0.970748 -0.971484 -0.984203 -0.963618 -0.972942 -0.952147 -0.961885 -0.959195 -0.9603 -0.936631 -0.979326 -0.984287 -0.960057 -0.992751 -0.966042 -0.966474 -0.97892 -0.944855 -0.958468 -0.950064 -0.94413 -0.944124 -0.971501 -0.919188 -0.984373 -0.982249 -0.960497 -0.979668 -0.962048 -0.975322 -0.958337 -0.986129 -0.986753 -0.959758 -0.960105 -0.97638 -0.950173 -0.94811 -0.977954 -0.981194 -0.973445 -0.982067 -0.956317 -0.988334 -0.976478 -0.987734 -0.971442 -0.927789 -0.949227 -0.933738 -0.942487 -0.949647 -0.969421 -0.946047 -0.958861 -0.99421 -0.941469 -0.971722 -0.946281 -0.971333 -0.98011 -0.985121 -0.980417 -0.969576 -0.903914 -0.955979 -0.964715 -0.948075 -0.967299 -0.976758 -0.982408 -0.982499 -0.940006 -0.990365 -0.940705 -0.054608 -0.538454 -0.563793 -0.665394 -0.504622 -0.331702 -0.231098 -0.211997 -0.467054 -0.250853 -0.499625 -0.449401 -0.290024 -0.014839 -0.420865 -0.612594 -0.454933 -0.496432 -0.114406 0.085832 -0.397892 -0.486322 0.259457 -0.487166 -0.604032 -0.575735 -0.529865 -0.497684 -0.181803 0.006003 -0.126349 -0.415739 -0.54674 -0.699454 -0.409134 -0.18923 -0.292626 0.024313 -0.340765 -0.311408 -0.495912 -0.476288 -0.198848 0.05699 -0.373208 -0.528329 -0.459282 -0.617231 0.048315 -0.146794 -0.353733 -0.550303 0.213826 -0.484674 -0.523378 -0.473408 -0.481813 -0.259369 -0.39046 -0.285392 0.004105 -0.466298 -0.582743 -0.551186 -0.440346 -0.3158 -0.572997 -0.066698 -0.400859 0.041172 -0.282045 -0.52295 -0.403572 0.476519 -0.330233 -0.586383 -0.493044 -0.507297 -0.172633 -0.104722 -0.463137 -0.489418 -0.293682 -0.568534 -0.433673 -0.603097 -0.587967 -0.47932 0.04611 -0.084048
tBodyGyro.std.Z -0.908285 -0.960307 -0.963506 -0.962074 -0.960584 -0.939142 -0.955295 -0.96759 -0.961595 -0.971941 -0.959897 -0.950157 -0.967351 -0.952297 -0.956537 -0.984781 -0.976201 -0.985108 -0.973198 -0.97241 -0.981345 -0.933252 -0.98392 -0.981701 -0.910928 -0.969302 -0.978375 -0.962375 -0.974995 -0.968889 -0.941426 -0.959804 -0.926414 -0.927972 -0.940638 -0.939681 -0.937021 -0.959624 -0.930177 -0.960446 -0.952844 -0.951553 -0.966896 -0.952904 -0.963766 -0.960288 -0.979705 -0.981525 -0.965595 -0.945772 -0.976973 -0.946501 -0.959719 -0.971278 -0.972638 -0.966441 -0.975713 -0.956633 -0.971228 -0.955053 -0.980646 -0.964857 -0.912364 -0.909995 -0.907472 -0.947782 -0.951631 -0.974118 -0.93989 -0.953681 -0.980637 -0.950365 -0.973437 -0.946589 -0.968167 -0.982357 -0.985538 -0.97282 -0.960734 -0.907343 -0.959327 -0.960583 -0.96239 -0.969959 -0.971814 -0.974891 -0.981282 -0.925491 -0.983369 -0.930835 -0.344267 -0.481086 -0.476696 -0.662608 -0.318701 -0.383139 -0.396014 -0.075445 -0.265684 -0.174525 -0.434178 -0.35017 -0.36337 -0.126091 -0.486533 -0.36549 -0.386044 -0.511417 -0.104203 -0.165748 -0.311876 -0.15144 -0.209635 -0.396154 -0.562775 -0.354549 -0.25012 -0.242601 -0.430232 -0.18257 -0.124702 -0.279418 -0.442308 -0.498481 -0.227869 -0.09408 -0.401051 -0.129565 -0.279685 -0.035302 -0.31896 -0.337807 -0.322774 0.356199 -0.250648 -0.444636 -0.468463 -0.483658 -0.031408 0.159724 -0.349759 -0.280418 -0.208702 -0.491077 -0.44378 -0.33205 -0.257846 -0.307025 -0.311123 -0.29537 -0.507169 -0.163996 -0.492327 -0.360811 -0.265451 -0.1839 -0.34898 0.337526 -0.138176 -0.320509 -0.694659 -0.349615 -0.211805 0.564876 -0.477366 -0.365025 -0.234402 -0.433922 -0.110117 0.184119 0.051716 -0.157758 -0.03173 -0.274596 -0.564196 -0.309088 -0.169961 -0.189307 -0.374815 -0.211574
tBodyGyroJerk.mean.X -0.107271 -0.101974 -0.100044 -0.10502 -0.102114 -0.111267 -0.105944 -0.106445 -0.103847 -0.100308 -0.102298 -0.09904 -0.101836 -0.105447 -0.102267 -0.10221 -0.10205 -0.099715 -0.095602 -0.099503 -0.096412 -0.100204 -0.102025 -0.102814 -0.101647 -0.100369 -0.101148 -0.104512 -0.099534 -0.102277 -0.093679 -0.093633 -0.103606 -0.096949 -0.088975 -0.093669 -0.093816 -0.092315 -0.093071 -0.093156 -0.094842 -0.094102 -0.09592 -0.092161 -0.095365 -0.09572 -0.094248 -0.095472 -0.100986 -0.095997 -0.101115 -0.098649 -0.096742 -0.095178 -0.09548 -0.095985 -0.095164 -0.095394 -0.095364 -0.095271 -0.099609 -0.105562 -0.09946 -0.103058 -0.092225 -0.103293 -0.090154 -0.097758 -0.095898 -0.104754 -0.099519 -0.097638 -0.09812 -0.100718 -0.101359 -0.100107 -0.101289 -0.098717 -0.099047 -0.102049 -0.1032 -0.097501 -0.098148 -0.099195 -0.100474 -0.100356 -0.098761 -0.102248 -0.09887 -0.099716 -0.089998 -0.081883 -0.09524 -0.115322 -0.088841 -0.087889 -0.123654 -0.135886 -0.08092 -0.12271 -0.09182 -0.062239 -0.09666 -0.110656 -0.077669 -0.110917 -0.109959 -0.096644 -0.083235 -0.067999 -0.086877 -0.132978 -0.057813 -0.062531 -0.102377 -0.099411 -0.078616 -0.092975 -0.106888 -0.087384 -0.073959 -0.058104 -0.07787 -0.092128 -0.110149 -0.025645 -0.059727 -0.034928 -0.094591 -0.064376 -0.022092 -0.026467 -0.06472 -0.10862 -0.048253 -0.103904 -0.10777 -0.083657 -0.033743 -0.04525 -0.072646 -0.090174 -0.117726 -0.091415 -0.127952 -0.099247 -0.051581 -0.026649 -0.074399 -0.061595 -0.122233 -0.082886 -0.115511 -0.131472 -0.14303 -0.065202 -0.085664 -0.155446 -0.068469 -0.157213 -0.064525 -0.045564 -0.066482 -0.128267 -0.144486 -0.140908 -0.142655 -0.089995 -0.101806 -0.148389 -0.144351 -0.14845 -0.109913 -0.146801 -0.126481 -0.097559 -0.093752 -0.080568 -0.130429 -0.108414
tBodyGyroJerk.mean.Y -0.041517 -0.035859 -0.038977 -0.038123 -0.040445 -0.04241 -0.03589 -0.038974 -0.027552 -0.03888 -0.041239 -0.041068 -0.041774 -0.037268 -0.041588 -0.034774 -0.036196 -0.039344 -0.037148 -0.038776 -0.034628 -0.037609 -0.037245 -0.038232 -0.042672 -0.039668 -0.036219 -0.035601 -0.038677 -0.038488 -0.040212 -0.04156 -0.036091 -0.041848 -0.04547 -0.033399 -0.039644 -0.040267 -0.046663 -0.041122 -0.039281 -0.038748 -0.041037 -0.043458 -0.039607 -0.045037 -0.041113 -0.039713 -0.042517 -0.04073 -0.039148 -0.042341 -0.04346 -0.040617 -0.039165 -0.040307 -0.039641 -0.040801 -0.040002 -0.040793 -0.044063 -0.042242 -0.047242 -0.046126 -0.039911 -0.042883 -0.04128 -0.048519 -0.04192 -0.037159 -0.039599 -0.040952 -0.041287 -0.04501 -0.043851 -0.042498 -0.040452 -0.040657 -0.042292 -0.043215 -0.04043 -0.0421 -0.041677 -0.043174 -0.041829 -0.040901 -0.041747 -0.043136 -0.040511 -0.043776 -0.039843 -0.05383 -0.038787 -0.039347 -0.044956 -0.036231 -0.044777 -0.031488 -0.035628 -0.05192 -0.051417 -0.049853 -0.031985 -0.043897 -0.055254 -0.043388 -0.037925 -0.043377 -0.030713 -0.051418 -0.051565 -0.032191 -0.05167 -0.05029 -0.039899 -0.045654 -0.047697 -0.051539 -0.04799 -0.061703 -0.04399 -0.042147 -0.039157 -0.034843 -0.07083 -0.076809 -0.03819 -0.053497 -0.059761 -0.048938 -0.052027 -0.060918 -0.066941 -0.074059 -0.049542 -0.056769 -0.03817 -0.050912 -0.039461 -0.057737 -0.073595 -0.035517 -0.035289 -0.029177 -0.04152 -0.037268 -0.064202 -0.057041 -0.067148 -0.049681 -0.042149 -0.042405 -0.040037 -0.039051 -0.05599 -0.045771 -0.048222 -0.02792 -0.03028 -0.037235 -0.071983 -0.033541 -0.045305 -0.020775 -0.036542 -0.029621 -0.04145 -0.052747 -0.034629 -0.018982 -0.013202 -0.038131 -0.052394 -0.031735 -0.028145 -0.038624 -0.050924 -0.049255 -0.051104 -0.014111
tBodyGyroJerk.mean.Z -0.07405 -0.070178 -0.068734 -0.071216 -0.070831 -0.071777 -0.06719 -0.069412 -0.056949 -0.059074 -0.066696 -0.067891 -0.064877 -0.056617 -0.062433 -0.057679 -0.060493 -0.059314 -0.059916 -0.061003 -0.06014 -0.070272 -0.062199 -0.062412 -0.059692 -0.071153 -0.06428 -0.05345 -0.067447 -0.059574 -0.046703 -0.043585 -0.059008 -0.048996 -0.048771 -0.04655 -0.045457 -0.044573 -0.052841 -0.048941 -0.05054 -0.051563 -0.046612 -0.052012 -0.052415 -0.058837 -0.05109 -0.052303 -0.05908 -0.046584 -0.052641 -0.051719 -0.048556 -0.051597 -0.04956 -0.048763 -0.050388 -0.057902 -0.047001 -0.04882 -0.048951 -0.054654 -0.041683 -0.049075 -0.042222 -0.050643 -0.054539 -0.047848 -0.057574 -0.058416 -0.052473 -0.048286 -0.053926 -0.050904 -0.052278 -0.054434 -0.054633 -0.053238 -0.052377 -0.051815 -0.053821 -0.051318 -0.054823 -0.051718 -0.055698 -0.053254 -0.051404 -0.05259 -0.054493 -0.052031 -0.046131 -0.051494 -0.050362 -0.055117 -0.048268 -0.05396 -0.049571 -0.052268 -0.063341 -0.061126 -0.034268 -0.046734 -0.063669 -0.038883 -0.051098 -0.053299 -0.051381 -0.050263 -0.060309 -0.054927 -0.062119 -0.056981 -0.0903 -0.073984 -0.05127 -0.049224 -0.065025 -0.059355 -0.039237 -0.044601 -0.027046 -0.071023 -0.041619 -0.049284 -0.039966 -0.037223 -0.078947 -0.08679 -0.067808 -0.072041 -0.037305 -0.065324 -0.051202 -0.061598 -0.033921 -0.061214 -0.058252 -0.057059 -0.054557 -0.061531 -0.078844 -0.048146 -0.029326 -0.041206 -0.064208 -0.051059 -0.062104 -0.077617 -0.035965 -0.05436 -0.040713 -0.044516 -0.049818 -0.07225 -0.05349 -0.05768 -0.072452 -0.053409 -0.023633 -0.036502 -0.046076 -0.065317 -0.066165 -0.013724 -0.076724 -0.035416 -0.022348 -0.069254 -0.053355 -0.051899 -0.006941 -0.067457 -0.0925 -0.049843 -0.054045 -0.059556 -0.062901 -0.075261 -0.068094 -0.036416
tBodyGyroJerk.std.X -0.918609 -0.993236 -0.980329 -0.975103 -0.983422 -0.939612 -0.973837 -0.969924 -0.945329 -0.965901 -0.981725 -0.967198 -0.981405 -0.970275 -0.973924 -0.985835 -0.980792 -0.996104 -0.976106 -0.989284 -0.984644 -0.972093 -0.985028 -0.979866 -0.957381 -0.992665 -0.993504 -0.960803 -0.996543 -0.983776 -0.991732 -0.989709 -0.972547 -0.9699 -0.966037 -0.943715 -0.974369 -0.993265 -0.964532 -0.992327 -0.990502 -0.97733 -0.991371 -0.990284 -0.992889 -0.989583 -0.995256 -0.99417 -0.988465 -0.977415 -0.989473 -0.985671 -0.987085 -0.991442 -0.992305 -0.995883 -0.99364 -0.982156 -0.993322 -0.993869 -0.992945 -0.979324 -0.940938 -0.949634 -0.94193 -0.946424 -0.965983 -0.981573 -0.949106 -0.950368 -0.98669 -0.955416 -0.978465 -0.969949 -0.971514 -0.987102 -0.989257 -0.981971 -0.975127 -0.921644 -0.971866 -0.949716 -0.972771 -0.975857 -0.97791 -0.978472 -0.982642 -0.928343 -0.983293 -0.960119 -0.207422 -0.38955 -0.385923 -0.492341 -0.357681 -0.182601 -0.211667 -0.246083 -0.526985 -0.366064 -0.541616 -0.390807 -0.216812 -0.57176 -0.283768 -0.67589 -0.431296 -0.578134 0.080119 -0.253227 -0.238908 -0.226656 -0.363969 -0.490773 -0.507957 -0.417439 -0.523257 -0.399417 -0.39591 -0.460345 -0.487027 -0.243941 -0.285683 -0.395995 -0.411302 0.039339 -0.510731 -0.267888 -0.509669 -0.416986 -0.534375 -0.278608 -0.463737 -0.537002 -0.455981 -0.623676 -0.526802 -0.676716 0.179149 -0.249235 -0.549648 -0.264848 -0.323016 -0.358445 -0.430134 -0.170843 -0.493838 -0.163945 -0.347808 -0.542765 -0.614787 -0.464854 -0.507271 -0.533667 -0.305245 -0.186763 -0.616813 -0.405071 -0.66042 -0.427291 -0.660431 -0.549999 -0.631038 -0.646611 -0.525534 -0.707264 -0.606044 -0.760689 -0.239376 -0.471108 -0.573542 -0.396699 -0.548319 -0.64049 -0.693855 -0.515829 -0.695775 -0.494283 -0.474933 -0.74275
tBodyGyroJerk.std.Y -0.967907 -0.989568 -0.986763 -0.986856 -0.983759 -0.958629 -0.976484 -0.974186 -0.96217 -0.966621 -0.990846 -0.9659 -0.978855 -0.968043 -0.980483 -0.989047 -0.983136 -0.990548 -0.984608 -0.98154 -0.981998 -0.980484 -0.979428 -0.978091 -0.971564 -0.989063 -0.993026 -0.9804 -0.997082 -0.980357 -0.989518 -0.99089 -0.978636 -0.984441 -0.975434 -0.961781 -0.981025 -0.988876 -0.971927 -0.992584 -0.988555 -0.979348 -0.991773 -0.986911 -0.990313 -0.990622 -0.994982 -0.994224 -0.987466 -0.979684 -0.989723 -0.980276 -0.980727 -0.989781 -0.991316 -0.99314 -0.992226 -0.980714 -0.995319 -0.992491 -0.995138 -0.983447 -0.968434 -0.976065 -0.961178 -0.962422 -0.976838 -0.985509 -0.975037 -0.976445 -0.995572 -0.971195 -0.980983 -0.970693 -0.988107 -0.992589 -0.9937 -0.991152 -0.988097 -0.947633 -0.976816 -0.9849 -0.97251 -0.981984 -0.987242 -0.989767 -0.990798 -0.972977 -0.995533 -0.968135 -0.304469 -0.63414 -0.639088 -0.80742 -0.571438 -0.41639 -0.174136 -0.428056 -0.5492 -0.509683 -0.737994 -0.581291 -0.357761 -0.536738 -0.702403 -0.712238 -0.560203 -0.694926 -0.291595 -0.127554 -0.482854 -0.651875 0.295946 -0.514247 -0.799635 -0.587 -0.634106 -0.639019 -0.587944 -0.497622 -0.238825 -0.469397 -0.680947 -0.816858 -0.514591 -0.193508 -0.29952 -0.070453 -0.448602 -0.471651 -0.684593 -0.517479 -0.259163 -0.284318 -0.574964 -0.583422 -0.572145 -0.752609 -0.01463 -0.334569 -0.442427 -0.64028 0.14665 -0.519327 -0.810445 -0.547198 -0.459459 -0.424568 -0.693469 -0.613796 -0.601697 -0.645491 -0.775774 -0.840723 -0.631822 -0.486494 -0.671244 -0.424676 -0.708605 -0.604629 -0.809459 -0.761196 -0.678806 -0.37148 -0.763054 -0.774719 -0.676723 -0.828872 -0.492122 -0.393989 -0.60447 -0.704255 -0.493514 -0.646644 -0.839699 -0.72521 -0.711148 -0.690571 -0.734225 -0.743337
tBodyGyroJerk.std.Z -0.95779 -0.988036 -0.983338 -0.983965 -0.98968 -0.959579 -0.988872 -0.987601 -0.977076 -0.983949 -0.986549 -0.969954 -0.989802 -0.979711 -0.980113 -0.994465 -0.988222 -0.992548 -0.986958 -0.986671 -0.988749 -0.978636 -0.994909 -0.992382 -0.974242 -0.99376 -0.993297 -0.981419 -0.995381 -0.980769 -0.987936 -0.985542 -0.973752 -0.968805 -0.964879 -0.958788 -0.980955 -0.985241 -0.968739 -0.99026 -0.981016 -0.977139 -0.989861 -0.982819 -0.987937 -0.988364 -0.993841 -0.992814 -0.985311 -0.979742 -0.987955 -0.979544 -0.98813 -0.98985 -0.991491 -0.99193 -0.991767 -0.971002 -0.992834 -0.988124 -0.992108 -0.97361 -0.958293 -0.957982 -0.944755 -0.962758 -0.978167 -0.989271 -0.969726 -0.969051 -0.990663 -0.973689 -0.985177 -0.974688 -0.981293 -0.992699 -0.992327 -0.986259 -0.983454 -0.94867 -0.975427 -0.979754 -0.984655 -0.983277 -0.980722 -0.985993 -0.98897 -0.956497 -0.990686 -0.970846 -0.404255 -0.435493 -0.536664 -0.640454 -0.157683 -0.166684 -0.458303 -0.388447 -0.457881 -0.329079 -0.55108 -0.480642 -0.341766 -0.497188 -0.591669 -0.571265 -0.524423 -0.66326 -0.213494 -0.227044 -0.494928 -0.234278 -0.374457 -0.557968 -0.659576 -0.485543 -0.426347 -0.440928 -0.50413 -0.476209 -0.268761 -0.218266 -0.374605 -0.32578 -0.034422 0.193206 -0.4252 -0.189604 -0.41724 -0.227137 -0.480559 -0.365232 -0.367089 0.091386 -0.394542 -0.540633 -0.542771 -0.605655 0.116646 0.003079 -0.428338 -0.358762 -0.36787 -0.478691 -0.599482 -0.358952 -0.307268 -0.336213 -0.379769 -0.498883 -0.606332 -0.467596 -0.573434 -0.556237 -0.282154 -0.170815 -0.682184 -0.430367 -0.657114 -0.482245 -0.777173 -0.606412 -0.55088 -0.359817 -0.657908 -0.717101 -0.610586 -0.718952 -0.375415 -0.253867 -0.564149 -0.515698 -0.543765 -0.648975 -0.746268 -0.55639 -0.676876 -0.603568 -0.558417 -0.665151
tBodyAccMag.mean -0.841929 -0.977435 -0.972791 -0.954558 -0.966778 -0.918879 -0.936392 -0.935309 -0.930868 -0.956782 -0.980621 -0.948205 -0.960518 -0.905978 -0.955341 -0.961835 -0.953021 -0.986456 -0.966261 -0.960743 -0.952597 -0.934994 -0.962959 -0.971854 -0.560478 -0.976785 -0.982092 -0.958112 -0.986493 -0.96983 -0.948537 -0.967894 -0.895383 -0.935695 -0.937978 -0.949544 -0.918432 -0.95214 -0.893362 -0.960757 -0.961971 -0.952177 -0.957691 -0.944198 -0.95867 -0.96188 -0.972747 -0.983674 -0.962074 -0.952738 -0.974735 -0.942167 -0.944081 -0.968979 -0.970409 -0.95308 -0.979482 -0.95579 -0.978017 -0.957487 -0.984278 -0.965875 -0.925431 -0.906478 -0.906105 -0.945023 -0.942725 -0.953763 -0.945167 -0.951989 -0.984854 -0.94146 -0.971564 -0.943457 -0.961208 -0.969949 -0.977636 -0.972607 -0.960506 -0.922407 -0.958774 -0.954808 -0.957212 -0.950061 -0.972664 -0.968512 -0.972753 -0.925472 -0.984745 -0.930574 -0.136971 -0.290408 -0.25469 -0.312051 -0.158339 -0.166841 -0.097809 0.051679 -0.098084 -0.127401 -0.288323 -0.102205 -0.135644 -0.144405 -0.186515 -0.258767 -0.151151 -0.287908 0.064817 0.039402 -0.123456 0.072242 -0.098877 -0.299984 -0.405289 -0.223399 -0.238854 -0.180666 -0.095521 -0.19514 0.027188 0.089951 -0.062813 -0.049162 0.211139 0.333755 0.01988 0.176599 0.145886 0.250844 0.126228 0.018314 -0.029463 0.185538 0.320449 0.19108 0.148951 -0.293532 0.644604 0.221852 0.245772 0.330999 0.127211 -0.07377 -0.220109 0.114379 0.108071 0.104359 0.103705 -0.03739 -0.129928 -0.107323 -0.184015 -0.153704 0.043556 0.017779 -0.198074 0.121027 -0.260728 -0.026662 -0.132595 -0.229184 -0.101154 0.140108 -0.000971 -0.23399 -0.012806 -0.279146 0.017381 0.008725 -0.081045 0.210283 -0.011754 -0.226403 -0.305772 -0.142874 -0.160589 -0.186241 0.008344 -0.137628
tBodyAccMag.std -0.795145 -0.972874 -0.964218 -0.931292 -0.958613 -0.897326 -0.90704 -0.91325 -0.915127 -0.940302 -0.972892 -0.936543 -0.947945 -0.856593 -0.943314 -0.957896 -0.948258 -0.986465 -0.963193 -0.939489 -0.942186 -0.909408 -0.957872 -0.969355 -0.649255 -0.964355 -0.97892 -0.954574 -0.981572 -0.960168 -0.927078 -0.953081 -0.870302 -0.914408 -0.920939 -0.931573 -0.881958 -0.929944 -0.863756 -0.93967 -0.944582 -0.947517 -0.937936 -0.925496 -0.937978 -0.941051 -0.965065 -0.981595 -0.951756 -0.937764 -0.971994 -0.924336 -0.924963 -0.96378 -0.960003 -0.933603 -0.969527 -0.947783 -0.96929 -0.942901 -0.981943 -0.957875 -0.915143 -0.890977 -0.879774 -0.93931 -0.93359 -0.937187 -0.936105 -0.937265 -0.980305 -0.935233 -0.96852 -0.936736 -0.9486 -0.957294 -0.975377 -0.972286 -0.962549 -0.910672 -0.95692 -0.939866 -0.95167 -0.947901 -0.968076 -0.962697 -0.96636 -0.917658 -0.981746 -0.91657 -0.219689 -0.422544 -0.328429 -0.527679 -0.377179 -0.266734 -0.198555 -0.180407 -0.379429 -0.185602 -0.487736 -0.236973 -0.292546 -0.363806 -0.323878 -0.471809 -0.461838 -0.460346 -0.099393 -0.15693 -0.29971 -0.161592 -0.209989 -0.481064 -0.565601 -0.421848 -0.407356 -0.392694 -0.262695 -0.359873 0.019884 0.215586 -0.041134 -0.081956 0.205422 0.373612 0.214544 0.131338 0.26512 0.156998 0.050774 0.097261 -0.01561 0.428406 0.353204 0.119184 0.091408 -0.229934 0.413472 0.172636 0.264342 0.133267 0.230364 -0.022484 -0.259465 0.147002 0.121176 0.135466 0.134481 -0.013577 -0.324971 -0.205977 -0.333597 -0.212012 -0.136736 -0.079151 -0.334745 -0.2272 -0.400222 -0.211537 -0.289592 -0.285844 -0.32634 -0.019769 -0.136552 -0.334795 -0.102878 -0.371842 -0.177667 -0.19827 -0.278474 -0.158757 -0.271894 -0.306854 -0.480007 -0.150707 -0.379949 -0.211929 -0.04147 -0.327411
